,current
0,0.01139026550431112
1,-0.030779811651803022
2,0.021562380909958538
3,-0.04840734318765956
4,-0.012602703852491504
5,0.019404588369124936
6,-0.004710564183847735
7,0.02604353727925646
8,0.05943061428645255
9,0.07467789354656844
10,-0.048792789913327785
11,-0.0456881647109997
12,-0.03350509071796903
13,-0.002526999923580361
14,-0.005338333280397201
15,-0.03460460352032073
16,-0.006093979425439021
17,0.028545768537854302
18,-0.008384055305228072
19,0.010218397053197884
20,0.03099427578827113
21,-0.02510147651783613
22,0.004141087319026385
23,-0.03564175068763272
24,0.029686253782501566
25,-0.0037491627905964497
26,-0.04033921325562951
27,0.01103909630461348
28,-0.035799709064325363
29,0.017018059716106003
30,-0.003198739773526459
31,-0.023242888776601783
32,0.02301148028102742
33,0.030432293127010696
34,0.010326411448598019
35,0.019902884129966325
36,0.013179723544061524
37,-0.0520063474001514
38,0.005088105816363368
39,0.0006068176479417859
40,0.008694126101478747
41,0.018414441056729316
42,-0.028874862115809564
43,0.042592443357083815
44,0.04761115710016723
45,-0.008606467027923708
46,-0.010783295282624568
47,0.017364007615735602
48,0.03428183226771629
49,0.002907346383701033
50,-0.019042239983644554
51,0.009717478034090114
52,0.02667649631133192
53,-0.024340386422487977
54,-0.0005901979750648787
55,0.022905176300779265
56,0.03511263557899504
57,0.032030945859757194
58,0.08605369380740147
59,0.016564015046895565
60,-0.026457394674269503
61,-0.022353844800297614
62,-0.03036628180628358
63,-0.020449977199488913
64,-0.04100189430409697
65,-0.024697429295150685
66,-0.03845089716194329
67,0.014414304076450161
68,-0.010521938232204108
69,-0.03636600461399653
70,0.010992925861692185
71,-0.02493163222173669
72,-0.013101437122596427
73,-0.032612401325131386
74,2.4427750540070227e-05
75,0.02224037811370704
76,-0.030383979315093464
77,-0.010696640968800533
78,-0.04660746519064436
79,-0.0011769714964902963
80,-0.05424005900947288
81,0.0667970782459961
82,0.02476915592844549
83,0.03534511027595605
84,-0.03291296263629637
85,0.018419816722960294
86,0.0039046811912341914
87,-0.006310400049909176
88,-0.035288109204005845
89,0.009282072392439849
90,0.006290633999969855
91,-0.04168998014935984
92,-0.055267258900765774
93,-0.0030088520018554184
94,0.012762168191289662
95,-0.041568140448852695
96,0.0008796612967556944
97,0.0061379154544153386
98,0.04070354767735945
99,-0.0038250633297819622
100,-0.05444962216179178
101,-0.0018682199473084185
102,-0.019048010609080006
103,-0.028486461327382997
104,0.010455045586430504
105,-0.02920435179417169
106,0.037643723043754
107,0.026038626814830615
108,0.0075031841023666754
109,-0.03478364194767793
110,0.018599548578967368
111,-0.010021767314573387
112,0.04945440279008813
113,0.0198366769447977
114,-0.009866287861618661
115,0.057375758881016696
116,-0.035666242115415116
117,0.03127219979162477
118,0.05664656488451645
119,0.0038488223078595113
120,-0.019362847649382117
121,0.010321954789044805
122,-0.005572739418711633
123,0.008154340350211573
124,0.01868505747448317
125,-0.00856037200588773
126,-0.008700184109224638
127,0.02864319007444593
128,-0.0003799473390315622
129,-0.01235744776207617
130,0.0019548674560856886
131,-0.004548409561678774
132,0.010721992866539711
133,0.02350586757418423
134,0.0194144507647599
135,0.014110122559984136
136,0.014500341233950883
137,0.006402158779693085
138,-0.012238199105879023
139,-0.0881940898093705
140,0.020414311116754513
141,-0.03726586143520132
142,0.001998528708980177
143,0.04673321244668911
144,-0.0581760549778185
145,0.05639689286256068
146,0.022497499449455845
147,0.033480153641884385
148,0.0060100461067468984
149,-0.013557141897137904
150,0.04850129304471444
151,-0.013373494118596554
152,-0.026835309110335003
153,-0.016206787579346505
154,0.04847764619027518
155,0.0011430977129103874
156,0.002672214354378057
157,0.012707897653879625
158,-0.05122941045115996
159,-0.04069777339270038
160,0.0166055139070188
161,-0.03668203353887808
162,-0.012626312373777345
163,0.010970663564145484
164,0.02600387827324108
165,-0.008025952767550805
166,-0.012552080909506075
167,0.01717236863578876
168,-0.008287138902194586
169,0.011010807897285054
170,-0.05850578163413256
171,-0.04909601474869405
172,-0.029886028347892307
173,-0.003928988159134553
174,0.04893127368252044
175,0.009399204886166034
176,0.02090069717114738
177,0.019261869737424706
178,0.06708860289937583
179,0.009218185284967392
180,0.03281247432076306
181,0.0063390339060395194
182,-0.038516637441112535
183,0.026674229417832134
184,-0.017876953694186005
185,0.006615575332017089
186,-0.06406535151290442
187,-0.04082059984483344
188,0.05588731978927661
189,-0.02694323527585457
190,-0.034110230917073894
191,0.01057938618424693
192,0.03716433493512348
193,-0.01005909808912359
194,-0.021078123349134975
195,0.034386776824673504
196,-0.00366711266404534
197,0.041290212631807544
198,0.019659331783497623
199,0.03337219501549268
200,0.0036354601936399262
201,0.004241314879096399
202,0.015386958053691984
203,0.058905695445404666
204,0.011519010242624705
205,0.04003128601326734
206,0.07391210834924125
207,-0.012692780505818345
208,-0.0004936843887000368
209,0.02272146060558752
210,-0.025250950786755506
211,0.026974287396225725
212,-0.01795867043658674
213,-0.0587097116519071
214,0.0016324133382624555
215,0.07806817613010485
216,0.013720086135541756
217,-0.036485142871760266
218,0.030112482055588086
219,-0.016527857645689613
220,0.0029215956263473723
221,-0.005344179574658522
222,0.05287634145475833
223,0.009488713357923327
224,-0.016497866916619888
225,-0.005903190133384063
226,0.061157147914480854
227,-0.03246906710629373
228,-0.006968606935300938
229,0.023765127401867
230,-0.02437434230240662
231,-0.006516957507936275
232,0.0008964947807200525
233,-0.04945082799409819
234,-0.009807105963281762
235,-0.020469193707557377
236,0.041371378560190825
237,0.015280242913720297
238,0.042920009729871415
239,0.01423339634372668
240,-0.0008370000455739115
241,-0.032503835146520235
242,-0.01598227027559641
243,-0.0016814610517296295
244,-0.06136482847384976
245,0.022264209046491058
246,-0.036306971839899636
247,-0.030533659440340886
248,0.026506067333952013
249,-0.037134635117731435
250,-0.004054848066129125
251,-0.03303117240680688
252,0.04265595032436132
253,0.0022256854572597472
254,-0.040351697686899245
255,0.021444487771251474
256,0.03618178588478056
257,-0.026692170531938255
258,0.01583928124948116
259,0.022359842677072975
260,-0.024144479663636694
261,-0.03856739465559622
262,-0.03517969666095723
263,0.02837502709502837
264,-0.02127778899689173
265,-0.03683097852560031
266,0.005357230758623362
267,-0.003579496679452331
268,0.013172152486157572
269,-0.06377049666796433
270,0.015352166494034234
271,0.03451281122779105
272,0.0035435003511356962
273,0.03834921483005229
274,-0.0168758473598219
275,-0.018573145899530925
276,0.02847693815489414
277,0.03711701491379797
278,-0.045246116685319124
279,-0.041986585834554294
280,0.04626047630384142
281,-0.012213078927009681
282,0.00317400759491185
283,-0.01949202268387259
284,-0.014325373390099032
285,-0.02074410467438178
286,0.006989077838957851
287,-0.02948014856705124
288,-0.006309587095289721
289,-0.05191723876110803
290,0.032589548649587824
291,-0.056835559353644906
292,-0.01141730205456326
293,-0.00499704726681359
294,-0.030953725652323325
295,-0.03763168805592343
296,-0.023345554204847567
297,0.012429087722141817
298,-0.0059575096329122015
299,-0.004759072963486237
300,-0.04127740827562771
301,-0.015959283715940718
302,0.08682386437376974
303,-0.034167514256118754
304,0.012554169314456904
305,-0.020872483082094457
306,0.00489772590727778
307,0.016565005193087505
308,-0.007297277490593451
309,0.02185494615630523
310,-0.023488562539387327
311,0.04129181330267174
312,0.05987274711207291
313,-0.025455978473607484
314,-0.003530506694853938
315,0.006738803685099323
316,-0.02090056798923067
317,0.02098445911787701
318,0.013200691270232014
319,-0.02452180448618834
320,0.008241863872765891
321,0.022203677061606714
322,-0.03313756116781866
323,0.0017961189695246955
324,-0.031164576675004673
325,0.030585956198731
326,-0.04454745265742545
327,-0.016280137872603847
328,0.03567837239152106
329,0.028640231203480953
330,-0.035657607354348
331,-0.022324977625192637
332,-0.005026315835808231
333,0.042663716773072936
334,-0.049161609583553194
335,-0.007246707066807528
336,0.01646561337554121
337,-0.02616594439255023
338,0.01910638465927986
339,0.022098917312170858
340,-0.04051718781350196
341,-0.01321330680856552
342,0.030867624346356884
343,-0.004413373171090795
344,0.03045467045113831
345,-0.011172299610164403
346,0.010859086512759348
347,0.00480397396321507
348,0.04320677029613806
349,-0.006282970281229673
350,0.0372207433311103
351,0.02708794325271988
352,-0.006123347088773505
353,-0.04020975146945837
354,-0.04431117379357826
355,0.031482210203968006
356,0.024647105384279635
357,0.011314086433590092
358,-0.03779218772342652
359,-0.004533191109990959
360,-0.009282066239747769
361,0.0063161815921616545
362,0.012509548832533243
363,-0.024206670319754615
364,0.07607331909779522
365,0.014928268447385746
366,0.02926927287632549
